metric,control,small_change,large_change,small_multiplier,large_multiplier
Mean,933.9081906164383,762.0685114520547,580.2590141438357,0.8159993874226988,0.621323401993967
Standard Deviation,206.12493173269363,272.5388710239099,433.589114611221,1.3222023591854624,2.1035258130419026
Autocorrelation,0.03073365680402145,0.08254759135439306,0.23124120624209699,2.6859020350481635,7.524038148686538
Skewness,0.19418520417820123,0.4125208579138613,0.8764328676291813,2.1243681240270824,4.513386441249613
